TRUE,FALSE,,CURATED,
0.466742608,0.532847518,,0.466742608,0.53545599
0.605477641,0.53545599,,0.605477641,0.534748439
0.549466134,0.534748439,,0.549466134,0.540881288
0.587496173,0.540881288,,0.587496173,0.602767664
0.60554811,0.602767664,,0.60554811,0.582969695
0.479851933,0.582969695,,0.479851933,0.483208564
0.48369489,0.483208564,,0.48369489,0.487777467
0.452854172,0.487777467,,0.452854172,0.480882132
0.461342533,0.480882132,,0.461342533,0.498543352
0.457201343,0.498543352,,0.457201343,0.500495581
0.446188751,0.500495581,,0.446188751,0.518680191
0.45400162,0.518680191,,0.45400162,0.529103176
0.453135906,0.529103176,,0.453135906,0.541027596
0.460548112,0.541027596,,0.460548112,0.397749377
0.494886745,0.397749377,,0.494886745,0.480215108
0.549498755,0.480215108,,0.549498755,0.480539296
0.475404037,0.480539296,,0.475404037,0.495772279
0.47083252,0.495772279,,0.47083252,0.530674015
0.53644862,0.530674015,,0.53644862,0.526446253
0.523199351,0.526446253,,0.523199351,0.528325129
0.504097847,0.528325129,,0.504097847,0.534762452
0.511056447,0.534762452,,0.511056447,0.52956449
0.543622923,0.52956449,,0.543622923,0.529198177
0.542209382,0.529198177,,0.542209382,0.464372954
0.506916693,0.464372954,,0.506916693,0.479179248
0.467872471,0.479179248,,0.467872471,0.495067369
0.50019355,0.495067369,,0.50019355,0.58341105
0.509470872,0.58341105,,0.509470872,0.571193116
0.588699555,0.571193116,,0.588699555,
0.522687103,,,0.522687103,
0.492332591,,,0.492332591,
0.499642245,,,0.499642245,
0.443737225,,,0.443737225,
0.363402513,,,0.363402513,
0.489313712,,,0.489313712,
0.404382706,,,0.404382706,
0.43722014,,,0.43722014,
0.402927291,,,0.402927291,
0.480746876,,,0.480746876,
0.473539815,,,0.473539815,
0.395853588,,,0.395853588,
0.34061894,,,0.34061894,
0.347963028,,,0.347963028,
0.406994051,,,0.406994051,
0.413482379,,,0.413482379,
0.39897043,,,0.39897043,
0.448069898,,,0.448069898,
0.55102828,,,0.55102828,
0.499226394,,,0.499226394,
0.507850027,,,0.507850027,
0.62858179,,,0.62858179,
0.505729622,,,0.505729622,
0.548240628,,,0.548240628,
0.545014605,,,0.545014605,
0.529487042,,,0.529487042,
0.42632835,,,0.42632835,
0.439626565,,,0.439626565,
0.450237166,,,0.450237166,
0.468133832,,,0.468133832,
0.552295309,,,0.552295309,
0.475750328,,,0.475750328,
0.441046684,,,0.441046684,
0.440829936,,,0.440829936,
0.429473888,,,0.429473888,
0.503559111,,,0.503559111,
0.500583836,,,0.500583836,
0.476749517,,,0.476749517,
0.525325949,,,0.525325949,
0.463557627,,,0.463557627,
0.446317899,,,0.446317899,
0.448084926,,,0.448084926,
0.464468864,,,0.464468864,
0.434890757,,,0.434890757,
0.435572473,,,0.435572473,
0.448110778,,,0.448110778,
0.445624297,,,0.445624297,
0.430033305,,,0.430033305,
0.454329079,,,0.454329079,
0.46982099,,,0.46982099,
0.483380307,,,0.483380307,
0.524646794,,,0.524646794,
0.472972943,,,0.472972943,
0.455002679,,,0.455002679,
0.438398349,,,0.438398349,
0.451471974,,,0.451471974,
0.473042001,,,0.473042001,
0.471406589,,,0.471406589,
0.438722897,,,0.438722897,
0.440173284,,,0.440173284,
0.457064801,,,0.457064801,
0.505232245,,,0.505232245,
0.431144769,,,0.431144769,
0.343146729,,,0.343146729,
0.402816799,,,0.402816799,
0.446654072,,,0.446654072,
0.433418364,,,0.433418364,
0.432159401,,,0.432159401,
0.453630791,,,0.453630791,
0.432439277,,,0.432439277,
0.433406656,,,0.433406656,
0.445399986,,,0.445399986,
0.455357959,,,0.455357959,
0.433790358,,,0.433790358,
0.48112889,,,0.48112889,
0.432440749,,,0.432440749,
0.457642599,,,0.457642599,
0.440844471,,,0.440844471,
0.434919042,,,0.434919042,
0.43363037,,,0.43363037,
0.437724437,,,0.437724437,
0.452743986,,,0.452743986,
0.4457602,,,0.4457602,
0.438353963,,,0.438353963,
0.437705843,,,0.437705843,
0.463712149,,,0.463712149,
0.439900691,,,0.439900691,
0.396748529,,,0.396748529,
0.449199154,,,0.449199154,
0.515316407,,,0.515316407,
0.456989171,,,0.456989171,
0.45782949,,,0.45782949,
0.448378578,,,0.448378578,
0.472151687,,,0.472151687,
0.468367302,,,0.468367302,
0.438053007,,,0.438053007,
0.450543555,,,0.450543555,
0.459199117,,,0.459199117,
0.453326735,,,0.453326735,
0.363402895,,,0.363402895,
0.456859182,,,0.456859182,
0.446618386,,,0.446618386,
0.43585165,,,0.43585165,
0.452168498,,,0.452168498,
0.429962222,,,0.429962222,
0.511218658,,,0.511218658,
0.448212379,,,0.448212379,
0.448951037,,,0.448951037,
0.465301348,,,0.465301348,
0.441741793,,,0.441741793,
0.456071671,,,0.456071671,
0.437449987,,,0.437449987,
0.440178955,,,0.440178955,
0.436848666,,,0.436848666,
0.434832708,,,0.434832708,
0.434211311,,,0.434211311,
0.476910252,,,0.476910252,
0.425002877,,,0.425002877,
0.569745009,,,0.569745009,
0.36916054,,,0.36916054,
0.506993828,,,0.506993828,
0.419476287,,,0.419476287,
0.477951268,,,0.477951268,
0.386341277,,,0.386341277,
0.509026806,,,0.509026806,
0.505688363,,,0.505688363,
0.516949385,,,0.516949385,
0.462397272,,,0.462397272,
0.446428498,,,0.446428498,
0.43027443,,,0.43027443,
0.451084388,,,0.451084388,
0.516313508,,,0.516313508,
0.49770287,,,0.49770287,
0.549009441,,,0.549009441,
0.506611655,,,0.506611655,
0.380902518,,,0.380902518,
0.492076003,,,0.492076003,
0.52595074,,,0.52595074,
0.505502973,,,0.505502973,
0.461408637,,,0.461408637,
0.447743682,,,0.447743682,
0.446412274,,,0.446412274,
0.398063913,,,0.398063913,
0.413817206,,,0.413817206,
0.446132042,,,0.446132042,
0.454307871,,,0.454307871,
0.476471597,,,0.476471597,
0.495055638,,,0.495055638,
0.531366231,,,0.531366231,
0.531156837,,,0.531156837,
0.529409266,,,0.529409266,
0.537660897,,,0.537660897,
0.52925123,,,0.52925123,
0.528358946,,,0.528358946,
0.542977119,,,0.542977119,
0.537341754,,,0.537341754,
0.532880671,,,0.532880671,
0.546337722,,,0.546337722,
0.543016202,,,0.543016202,
0.53411625,,,0.53411625,
0.533558338,,,0.533558338,
0.543197531,,,0.543197531,
0.529150695,,,0.529150695,
0.528880403,,,0.528880403,
0.416896131,,,0.416896131,
0.435413867,,,0.435413867,
0.454088,,,0.454088,
0.48354106,,,0.48354106,
0.485442708,,,0.485442708,
0.481555247,,,0.481555247,
